epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4541,1.21062,8.18392,0.71152,1.03568,1.56091,0.96812,0.97682,0.98303,0.73512,0,0,0,0,0.8608,8.01302,0.6953,0.64926,1.35962,0.00036,0.00036,0.00036
2,17.7039,0.94567,7.20837,0.69201,0.68322,1.32605,0.80649,0.86755,0.88481,0.50593,0.06027,0.06291,0.00652,0.00066,1.45398,6.9647,0.60047,1.78391,1.97723,0.000725348,0.000725348,0.000725348
3,24.5496,1.00355,6.47435,0.67683,0.69152,1.34568,0.79002,0.98344,0.97167,0.59096,0.05748,0.07285,0.00826,0.00116,1.24496,6.55603,0.46917,3.17928,1.93747,0.00107565,0.00107565,0.00107565
4,32.8063,1.01127,6.08415,0.6346,0.73664,1.3424,0.88154,0.9106,0.95833,0.60866,0.08508,0.10596,0.01261,0.00196,1.12708,6.73399,0.38651,1.37878,1.58218,0.0014109,0.0014109,0.0014109
5,41.3678,0.98208,5.69151,0.6244,0.71416,1.32665,0.78003,0.90066,0.9253,0.63595,0.10726,0.1755,0.0232,0.00359,1.05853,6.01054,0.31012,1.78015,1.75004,0.0017311,0.0017311,0.0017311
6,49.611,1.00654,5.26384,0.61377,0.699,1.35333,0.94436,0.95695,0.97487,0.70966,0.16588,0.18874,0.03568,0.0053,0.95101,5.53872,0.31786,1.38953,1.45365,0.001802,0.001802,0.001802
7,57.9108,0.96059,5.25724,0.6022,0.67111,1.2944,0.90019,0.93046,0.96608,0.66783,0.15176,0.16556,0.03164,0.0041,1.09637,5.76227,0.28607,1.08456,1.61685,0.0017624,0.0017624,0.0017624
8,66.2324,0.93356,4.90551,0.61128,0.64339,1.28431,0.95627,0.94142,0.96901,0.64769,0.23094,0.23841,0.0693,0.01651,1.09661,5.61271,0.23364,1.82068,1.64319,0.0017228,0.0017228,0.0017228
9,74.4588,0.92291,4.80988,0.58718,0.65618,1.26782,0.92846,0.96358,0.97067,0.69214,0.18405,0.20199,0.04883,0.00972,0.95751,5.61526,0.2182,1.05701,1.52065,0.0016832,0.0016832,0.0016832
10,82.6743,0.90035,4.63726,0.59503,0.631,1.26638,0.96956,0.93377,0.97893,0.70696,0.363,0.41722,0.17436,0.03193,0.92419,5.23406,0.23345,0.95109,1.39716,0.0016436,0.0016436,0.0016436
11,89.7962,0.91092,4.56987,0.58547,0.63869,1.25632,0.94969,0.9376,0.9773,0.72739,0.64948,0.66556,0.50527,0.10995,0.8635,3.9933,0.25435,0.80721,1.37821,0.001604,0.001604,0.001604
12,96.3402,0.87495,4.54333,0.57856,0.6215,1.24402,0.97964,0.98675,0.98278,0.73903,0.32837,0.33113,0.11831,0.02589,0.83513,4.17302,0.26605,0.7086,1.38689,0.0015644,0.0015644,0.0015644
13,102.858,0.87701,4.33706,0.59438,0.63626,1.26315,0.94093,0.94939,0.9751,0.6996,0.39169,0.39735,0.1732,0.02885,0.94116,4.89328,0.2612,0.76279,1.45312,0.0015248,0.0015248,0.0015248
14,110.577,0.88755,4.16285,0.59267,0.60505,1.24859,0.95444,0.97351,0.97314,0.76115,0.72815,0.77483,0.64747,0.17815,0.73972,3.47282,0.32552,0.63228,1.25985,0.0014852,0.0014852,0.0014852
15,118.756,0.86292,3.87298,0.60184,0.59375,1.23561,0.96568,0.97351,0.97869,0.78395,0.85353,0.84901,0.79959,0.26541,0.69082,3.00828,0.36022,0.47896,1.23038,0.0014456,0.0014456,0.0014456
16,127.049,0.8471,3.85559,0.56187,0.59907,1.22627,0.97357,0.98675,0.97949,0.77222,0.71282,0.72848,0.53072,0.15558,0.79026,3.28822,0.26775,0.56623,1.24882,0.001406,0.001406,0.001406
17,135.326,0.8387,3.74141,0.57915,0.60848,1.2389,0.96379,0.96689,0.9709,0.7538,0.71381,0.69868,0.54483,0.21181,0.88581,3.63153,0.29295,0.68821,1.42537,0.0013664,0.0013664,0.0013664
18,143.656,0.82471,3.57687,0.56976,0.56505,1.20443,0.97402,0.98675,0.97806,0.79752,0.93795,0.95033,0.93455,0.45395,0.70884,2.07281,0.3251,0.51666,1.22075,0.0013268,0.0013268,0.0013268
19,151.507,0.84923,3.2629,0.56429,0.56325,1.23459,0.97181,0.98675,0.98167,0.81982,0.87431,0.88742,0.81437,0.40443,0.70259,2.25087,0.25723,0.44721,1.20927,0.0012872,0.0012872,0.0012872
20,158.984,0.7825,3.10027,0.56552,0.55316,1.20213,0.97182,0.98675,0.97986,0.82799,0.87029,0.88411,0.79722,0.46014,0.6317,2.15057,0.28268,0.43396,1.14139,0.0012476,0.0012476,0.0012476
