epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.0268,0.62085,2.03999,0.49829,0.43998,1.1128,0.98346,0.98624,0.98484,0.87439,0.93543,0.93807,0.91146,0.70573,0.51179,1.10548,0.15232,0.32303,1.05496,0.000654545,0.000654545,0.000654545
2,27.0098,0.74177,2.22741,0.45904,0.50119,1.16513,0.9302,0.96904,0.97935,0.82726,0.90147,0.93922,0.92874,0.73033,0.62565,1.11054,0.21677,0.48943,1.1297,0.00129505,0.00129505,0.00129505
3,37.6838,0.81692,2.50962,0.45856,0.56778,1.20055,0.98562,0.98624,0.98097,0.79125,0.79652,0.79931,0.66817,0.41772,0.70552,2.32323,0.15538,0.46097,1.22524,0.00190916,0.00190916,0.00190916
4,51.7363,0.83521,2.33439,0.42888,0.58875,1.21387,0.97912,0.98624,0.97966,0.81598,0.94608,0.95298,0.93225,0.69436,0.63013,1.28403,0.19351,0.43885,1.15467,0.0018812,0.0018812,0.0018812
5,67.809,0.79246,2.39064,0.42568,0.567,1.19693,0.97592,0.98624,0.98137,0.82184,0.9383,0.93922,0.92715,0.69667,0.61832,1.25586,0.12159,0.41429,1.14372,0.0018416,0.0018416,0.0018416
6,81.3628,0.782,2.40806,0.401,0.5229,1.19809,0.97721,0.98354,0.98145,0.79353,0.93733,0.94344,0.92568,0.70087,0.718,1.20082,0.12111,0.50833,1.25756,0.001802,0.001802,0.001802
7,95.8083,0.79197,2.27074,0.39228,0.55996,1.19645,0.98196,0.98624,0.98367,0.82226,0.95341,0.95757,0.93776,0.61583,0.65524,1.46628,0.13168,0.41998,1.18255,0.0017624,0.0017624,0.0017624
8,110.312,0.74916,2.0973,0.37993,0.52183,1.17474,0.98229,0.98624,0.98247,0.84513,0.94917,0.95298,0.93975,0.72107,0.56483,1.16872,0.09046,0.40128,1.09899,0.0017228,0.0017228,0.0017228
9,126.607,0.77074,2.17492,0.37674,0.52939,1.18424,0.98272,0.98624,0.98506,0.82938,0.94958,0.95298,0.93857,0.7075,0.60615,1.07214,0.11966,0.3863,1.14193,0.0016832,0.0016832,0.0016832
10,142.558,0.75033,2.20866,0.36583,0.51579,1.1675,0.98281,0.98329,0.98301,0.80718,0.88309,0.88355,0.81603,0.56868,0.66008,1.6021,0.08229,0.4271,1.16205,0.0016436,0.0016436,0.0016436
11,156.193,0.73819,2.05167,0.35216,0.49112,1.16678,0.98051,0.98624,0.98398,0.82606,0.94397,0.94954,0.92351,0.72374,0.61518,1.06785,0.12491,0.40391,1.15609,0.001604,0.001604,0.001604
12,171.865,0.70763,1.90743,0.3427,0.47396,1.14589,0.97923,0.98624,0.98406,0.83307,0.94621,0.95298,0.9452,0.73772,0.6231,1.08203,0.10659,0.39413,1.15271,0.0015644,0.0015644,0.0015644
13,186.743,0.71393,1.84983,0.34755,0.4792,1.15283,0.98616,0.98624,0.98551,0.83345,0.94969,0.95069,0.94596,0.71161,0.59383,1.14001,0.06623,0.38272,1.1346,0.0015248,0.0015248,0.0015248
14,202.649,0.68907,1.83185,0.34247,0.4481,1.1384,0.98281,0.98624,0.98533,0.84435,0.9531,0.95642,0.93978,0.72769,0.56693,1.04044,0.07433,0.33754,1.12177,0.0014852,0.0014852,0.0014852
15,216.787,0.70739,1.74928,0.337,0.46085,1.14474,0.98241,0.98624,0.98683,0.84897,0.94927,0.95298,0.94626,0.72704,0.60109,1.04295,0.09089,0.36931,1.10118,0.0014456,0.0014456,0.0014456
16,230.211,0.68426,1.62193,0.32113,0.46178,1.13705,0.98522,0.98624,0.98495,0.86374,0.95194,0.95298,0.9492,0.80925,0.53234,0.82975,0.08797,0.33486,1.07211,0.001406,0.001406,0.001406
17,243.711,0.68758,1.65217,0.3136,0.45402,1.1375,0.98024,0.98624,0.98435,0.85977,0.94719,0.95298,0.94587,0.77352,0.54645,0.91994,0.07584,0.33444,1.06439,0.0013664,0.0013664,0.0013664
18,256.968,0.68264,1.58224,0.31664,0.44493,1.12637,0.98558,0.98624,0.98488,0.8593,0.95579,0.95642,0.94755,0.81374,0.53927,0.81118,0.07839,0.33169,1.08073,0.0013268,0.0013268,0.0013268
19,273.441,0.6856,1.71793,0.31698,0.45075,1.12672,0.98283,0.98624,0.98547,0.86811,0.95311,0.95642,0.94562,0.77869,0.51573,0.94854,0.07208,0.33261,1.05162,0.0012872,0.0012872,0.0012872
20,288.48,0.67258,1.44628,0.30316,0.45034,1.12597,0.98537,0.98624,0.98516,0.88224,0.95214,0.95298,0.9495,0.82705,0.49997,0.80918,0.04285,0.31294,1.04942,0.0012476,0.0012476,0.0012476
21,301.896,0.65188,1.40352,0.29098,0.43608,1.11258,0.9827,0.98624,0.98565,0.88144,0.94957,0.95298,0.94655,0.82591,0.48791,0.85326,0.04906,0.30175,1.0418,0.001208,0.001208,0.001208
22,315.262,0.64042,1.45874,0.30336,0.42638,1.1074,0.98577,0.98624,0.98733,0.88223,0.95252,0.95298,0.94382,0.81533,0.49522,0.82374,0.04295,0.30166,1.05075,0.0011684,0.0011684,0.0011684
